INDEX;ASUKKAITA;ASVALJYYS;IKA0_9;IKA10_19;IKA20_29;IKA30_39;IKA40_49;IKA50_59;IKA60_69;IKA70_79;IKA_YLI80
688;5;50.6;99;99;99;99;99;99;99;99;99
703;5;51.4;99;99;99;99;99;99;99;99;99
710;8;44.5;99;99;99;99;99;99;99;99;99
711;7;64.14;99;99;99;99;99;99;99;99;99
715;10;45.2;99;99;99;99;99;99;99;99;99
848;6;44.5;99;99;99;99;99;99;99;99;99
864;11;61.36;99;99;99;99;99;99;99;99;99
872;17;40.44;99;99;99;99;99;99;99;99;99
877;18;76.44;99;99;99;99;99;99;99;99;99
878;11;49.71;99;99;99;99;99;99;99;99;99
1031;14;19.14;99;99;99;99;99;99;99;99;99
1032;6;56.64;99;99;99;99;99;99;99;99;99
1033;29;43.86;99;99;99;99;99;99;99;99;99
1034;8;40.75;99;99;99;99;99;99;99;99;99
1038;12;65.78;99;99;99;99;99;99;99;99;99
1039;9;102.13;99;99;99;99;99;99;99;99;99
1040;5;53.6;99;99;99;99;99;99;99;99;99
1195;8;44.98;99;99;99;99;99;99;99;99;99
1199;39;56.79;99;99;99;99;99;99;99;99;99
1200;5;103;99;99;99;99;99;99;99;99;99
1205;20;69.88;99;99;99;99;99;99;99;99;99
1359;9;73.11;99;99;99;99;99;99;99;99;99
1360;27;57.52;99;99;99;99;99;99;99;99;99
1361;29;48.9;99;99;99;99;99;99;99;99;99
1362;31;40.85;99;99;99;99;99;99;99;99;99
1367;8;66.96;99;99;99;99;99;99;99;99;99
1368;23;75;99;99;99;99;99;99;99;99;99
1369;7;57.43;99;99;99;99;99;99;99;99;99
1520;6;97.83;99;99;99;99;99;99;99;99;99
1521;66;42.88;99;99;99;99;99;99;99;99;99
1522;32;36.83;99;99;99;99;99;99;99;99;99
1523;40;43.56;99;99;99;99;99;99;99;99;99
1530;15;54.22;99;99;99;99;99;99;99;99;99
1531;19;64.52;99;99;99;99;99;99;99;99;99
1547;5;49;99;99;99;99;99;99;99;99;99
1665;5;11.2;99;99;99;99;99;99;99;99;99
1678;9;44.33;99;99;99;99;99;99;99;99;99
1679;14;41.81;99;99;99;99;99;99;99;99;99
1682;6;65.17;99;99;99;99;99;99;99;99;99
1683;5;78.83;99;99;99;99;99;99;99;99;99
1685;13;61.46;99;99;99;99;99;99;99;99;99
1704;6;20;99;99;99;99;99;99;99;99;99
1834;9;29.35;99;99;99;99;99;99;99;99;99
1842;5;24;99;99;99;99;99;99;99;99;99
1844;10;64.02;99;99;99;99;99;99;99;99;99
1847;6;48.33;99;99;99;99;99;99;99;99;99
1873;27;10.7;99;99;99;99;99;99;99;99;99
1874;12;16.5;99;99;99;99;99;99;99;99;99
1876;10;52;99;99;99;99;99;99;99;99;99
2005;7;51.71;99;99;99;99;99;99;99;99;99
2006;15;46.4;99;99;99;99;99;99;99;99;99
2009;14;64.43;99;99;99;99;99;99;99;99;99
2038;14;24.64;99;99;99;99;99;99;99;99;99
2170;10;53;99;99;99;99;99;99;99;99;99
2171;7;82.67;99;99;99;99;99;99;99;99;99
2172;9;46;99;99;99;99;99;99;99;99;99
2193;6;76.61;99;99;99;99;99;99;99;99;99
2326;5;52.2;99;99;99;99;99;99;99;99;99
2356;9;102.98;99;99;99;99;99;99;99;99;99
2357;8;44.31;99;99;99;99;99;99;99;99;99
2358;8;50;99;99;99;99;99;99;99;99;99
2519;9;51.56;99;99;99;99;99;99;99;99;99
2523;15;37.27;99;99;99;99;99;99;99;99;99
2524;27;36.54;99;99;99;99;99;99;99;99;99
2685;18;56.67;99;99;99;99;99;99;99;99;99
2686;13;29.23;99;99;99;99;99;99;99;99;99
2687;15;60.67;99;99;99;99;99;99;99;99;99
2692;6;48;99;99;99;99;99;99;99;99;99
2693;5;58;99;99;99;99;99;99;99;99;99
2815;10;42.9;99;99;99;99;99;99;99;99;99
2849;8;54.63;99;99;99;99;99;99;99;99;99
2850;9;30.44;99;99;99;99;99;99;99;99;99
2852;7;58.57;99;99;99;99;99;99;99;99;99
2853;16;84.81;99;99;99;99;99;99;99;99;99
2854;27;47.7;99;99;99;99;99;99;99;99;99
2991;6;9.33;99;99;99;99;99;99;99;99;99
3011;8;42.75;99;99;99;99;99;99;99;99;99
3013;9;51.52;99;99;99;99;99;99;99;99;99
3014;6;86.17;99;99;99;99;99;99;99;99;99
3015;23;61.78;99;99;99;99;99;99;99;99;99
3016;5;87.2;99;99;99;99;99;99;99;99;99
3144;7;34.57;99;99;99;99;99;99;99;99;99
3146;5;58;99;99;99;99;99;99;99;99;99
3152;8;45.38;99;99;99;99;99;99;99;99;99
3168;6;10;99;99;99;99;99;99;99;99;99
3174;12;48.25;99;99;99;99;99;99;99;99;99
3175;26;15.04;99;99;99;99;99;99;99;99;99
3176;8;46.13;99;99;99;99;99;99;99;99;99
3179;8;78.25;99;99;99;99;99;99;99;99;99
3180;55;42.55;99;99;99;99;99;99;99;99;99
3299;7;42.76;99;99;99;99;99;99;99;99;99
3313;15;43.47;99;99;99;99;99;99;99;99;99
3314;16;63.81;99;99;99;99;99;99;99;99;99
3315;7;74.29;99;99;99;99;99;99;99;99;99
3316;10;35.5;99;99;99;99;99;99;99;99;99
3327;7;48.57;99;99;99;99;99;99;99;99;99
3330;7;50.81;99;99;99;99;99;99;99;99;99
3335;6;80.28;99;99;99;99;99;99;99;99;99
3336;7;56.71;99;99;99;99;99;99;99;99;99
3341;35;47.77;99;99;99;99;99;99;99;99;99
3342;103;48.98;10;20;4;8;25;13;11;8;4
3343;7;87.86;99;99;99;99;99;99;99;99;99
3462;8;98.65;99;99;99;99;99;99;99;99;99
3471;9;46.13;99;99;99;99;99;99;99;99;99
3473;6;49.83;99;99;99;99;99;99;99;99;99
3477;15;49.17;99;99;99;99;99;99;99;99;99
3480;8;53.02;99;99;99;99;99;99;99;99;99
3487;8;25.75;99;99;99;99;99;99;99;99;99
3496;12;37.18;99;99;99;99;99;99;99;99;99
3500;69;20.49;99;99;99;99;99;99;99;99;99
3501;86;9;99;99;99;99;99;99;99;99;99
3503;285;33.6;39;41;26;59;49;27;28;13;3
3504;6;52.56;99;99;99;99;99;99;99;99;99
3508;11;107.55;99;99;99;99;99;99;99;99;99
3509;5;120.43;99;99;99;99;99;99;99;99;99
3634;7;82.6;99;99;99;99;99;99;99;99;99
3635;8;54.77;99;99;99;99;99;99;99;99;99
3645;6;42;99;99;99;99;99;99;99;99;99
3654;9;41;99;99;99;99;99;99;99;99;99
3656;5;73.27;99;99;99;99;99;99;99;99;99
3659;15;38.47;99;99;99;99;99;99;99;99;99
3660;254;32.26;50;35;26;47;35;21;24;13;3
3661;327;29.7;83;58;10;76;66;22;6;4;2
3662;330;29.92;47;56;41;69;59;35;12;8;3
3663;307;32.7;46;43;45;44;45;32;28;17;7
3664;117;33.62;19;18;22;19;16;10;5;5;3
3665;58;46.21;99;99;99;99;99;99;99;99;99
3666;50;54.12;99;99;99;99;99;99;99;99;99
3667;16;46;99;99;99;99;99;99;99;99;99
3670;27;67.3;99;99;99;99;99;99;99;99;99
3671;27;42.48;99;99;99;99;99;99;99;99;99
3672;13;42.08;99;99;99;99;99;99;99;99;99
3785;9;72.89;99;99;99;99;99;99;99;99;99
3786;7;44.86;99;99;99;99;99;99;99;99;99
3797;9;53.78;99;99;99;99;99;99;99;99;99
3798;10;30.6;99;99;99;99;99;99;99;99;99
3799;12;53.92;99;99;99;99;99;99;99;99;99
3800;8;81;99;99;99;99;99;99;99;99;99
3802;14;28;99;99;99;99;99;99;99;99;99
3803;90;33.88;99;99;99;99;99;99;99;99;99
3804;42;31.83;99;99;99;99;99;99;99;99;99
3807;13;41.38;99;99;99;99;99;99;99;99;99
3808;23;58.02;99;99;99;99;99;99;99;99;99
3809;15;49.13;99;99;99;99;99;99;99;99;99
3815;5;74.8;99;99;99;99;99;99;99;99;99
3816;9;34.78;99;99;99;99;99;99;99;99;99
3818;7;72.71;99;99;99;99;99;99;99;99;99
3821;193;31;40;30;22;26;34;26;12;1;2
3822;380;30.36;81;63;28;69;77;41;19;2;0
3823;218;34.2;44;37;11;32;53;20;9;11;1
3824;199;32.23;30;33;19;25;35;29;14;11;3
3825;282;38.11;30;27;35;39;49;43;44;14;1
3826;113;35.44;15;10;16;30;18;12;11;1;0
3827;74;37.01;99;99;99;99;99;99;99;99;99
3828;54;49.39;99;99;99;99;99;99;99;99;99
3829;147;38.22;32;19;5;36;20;16;15;2;2
3830;64;35.44;99;99;99;99;99;99;99;99;99
3831;6;59.67;99;99;99;99;99;99;99;99;99
3832;36;30.27;99;99;99;99;99;99;99;99;99
3833;121;23.83;28;10;15;36;16;5;8;3;0
3834;126;17.55;20;2;13;47;14;15;4;11;0
3835;38;30.66;99;99;99;99;99;99;99;99;99
3836;30;64.36;99;99;99;99;99;99;99;99;99
3837;5;999999999;99;99;99;99;99;99;99;99;99
3952;6;101.17;99;99;99;99;99;99;99;99;99
3958;19;93.93;99;99;99;99;99;99;99;99;99
3959;13;65.46;99;99;99;99;99;99;99;99;99
3960;30;62.37;99;99;99;99;99;99;99;99;99
3961;12;81.92;99;99;99;99;99;99;99;99;99
3962;7;70.14;99;99;99;99;99;99;99;99;99
3965;69;27.87;99;99;99;99;99;99;99;99;99
3966;46;31.72;99;99;99;99;99;99;99;99;99
3967;17;71.46;99;99;99;99;99;99;99;99;99
3968;37;48.73;99;99;99;99;99;99;99;99;99
3969;5;63.8;99;99;99;99;99;99;99;99;99
3970;6;64.11;99;99;99;99;99;99;99;99;99
3982;13;82.54;99;99;99;99;99;99;99;99;99
3983;130;33.78;19;25;12;14;13;27;16;3;1
3984;305;37.97;46;74;16;50;64;44;10;0;1
3985;379;37.54;47;58;79;70;76;21;17;11;0
3986;339;28.77;24;39;33;58;45;27;32;35;46
3987;23;34.91;99;99;99;99;99;99;99;99;99
3989;43;35.42;99;99;99;99;99;99;99;99;99
3990;96;40.51;99;99;99;99;99;99;99;99;99
3991;92;43.87;99;99;99;99;99;99;99;99;99
3992;30;47.37;99;99;99;99;99;99;99;99;99
3993;94;33.51;99;99;99;99;99;99;99;99;99
3994;68;21.28;99;99;99;99;99;99;99;99;99
3996;14;10.21;99;99;99;99;99;99;99;99;99
3997;119;41.82;11;19;8;25;13;25;11;6;1
3998;35;75.62;99;99;99;99;99;99;99;99;99
4122;15;52.2;99;99;99;99;99;99;99;99;99
4126;12;72.67;99;99;99;99;99;99;99;99;99
4127;28;47.96;99;99;99;99;99;99;99;99;99
4128;17;40.18;99;99;99;99;99;99;99;99;99
4129;28;32.57;99;99;99;99;99;99;99;99;99
4130;36;42.88;99;99;99;99;99;99;99;99;99
4131;21;67.79;99;99;99;99;99;99;99;99;99
4132;7;41.57;99;99;99;99;99;99;99;99;99
4134;7;30.29;99;99;99;99;99;99;99;99;99
4135;6;71.67;99;99;99;99;99;99;99;99;99
4142;9;52.22;99;99;99;99;99;99;99;99;99
4143;22;39.41;99;99;99;99;99;99;99;99;99
4144;97;53.9;99;99;99;99;99;99;99;99;99
4145;138;39.89;22;23;6;22;26;20;9;6;4
4146;108;33.66;9;32;8;2;25;21;5;5;1
4147;216;36.94;13;20;49;32;27;34;22;13;6
4148;71;33.42;99;99;99;99;99;99;99;99;99
4151;20;34.8;99;99;99;99;99;99;99;99;99
4152;119;37.49;24;23;6;16;26;12;6;5;1
4153;110;37.73;23;20;7;14;29;12;5;0;0
4154;145;33.69;28;16;13;35;19;20;10;3;1
4155;121;28.59;27;15;24;25;9;15;5;1;0
4156;68;40.25;99;99;99;99;99;99;99;99;99
4157;23;999999999;99;99;99;99;99;99;99;99;99
4158;66;38.23;99;99;99;99;99;99;99;99;99
4159;35;74.4;99;99;99;99;99;99;99;99;99
4160;12;79.96;99;99;99;99;99;99;99;99;99
4288;15;50.6;99;99;99;99;99;99;99;99;99
4289;29;64.78;99;99;99;99;99;99;99;99;99
4290;42;46.55;99;99;99;99;99;99;99;99;99
4291;11;73;99;99;99;99;99;99;99;99;99
4292;79;35.09;99;99;99;99;99;99;99;99;99
4293;127;40.35;30;17;17;28;15;10;10;0;0
4303;13;41.69;99;99;99;99;99;99;99;99;99
4304;13;46.85;99;99;99;99;99;99;99;99;99
4305;158;38.63;17;30;7;23;35;20;13;11;2
4306;215;32.56;37;31;35;33;37;20;18;2;2
4307;317;27.82;57;25;75;59;46;25;20;9;1
4308;15;51.73;99;99;99;99;99;99;99;99;99
4309;216;40.4;16;19;35;34;25;26;26;24;11
4313;6;48.67;99;99;99;99;99;99;99;99;99
4314;415;31.41;89;54;58;80;57;32;32;11;2
4315;122;40.97;25;18;5;23;14;20;8;7;2
4316;139;29.41;33;21;10;31;24;13;0;7;0
4317;103;32.36;21;18;3;29;14;6;6;5;1
4318;178;41.3;31;27;9;42;43;18;7;1;0
4319;134;37.01;33;22;1;34;25;3;11;5;0
4320;169;41.86;42;32;6;25;38;20;4;2;0
4321;144;37.47;23;32;8;14;31;23;10;3;0
4322;12;28.67;99;99;99;99;99;99;99;99;99
4450;21;51.95;99;99;99;99;99;99;99;99;99
4451;21;43.24;99;99;99;99;99;99;99;99;99
4454;13;47.69;99;99;99;99;99;99;99;99;99
4455;7;52.14;99;99;99;99;99;99;99;99;99
4457;6;10.5;99;99;99;99;99;99;99;99;99
4468;155;30.3;28;18;47;28;18;10;3;2;1
4469;55;35.58;99;99;99;99;99;99;99;99;99
4470;122;33.39;22;16;17;20;24;13;8;2;0
4471;96;42.44;99;99;99;99;99;99;99;99;99
4474;9;32.56;99;99;99;99;99;99;99;99;99
4477;31;18.32;99;99;99;99;99;99;99;99;99
4478;64;25.08;99;99;99;99;99;99;99;99;99
4479;109;12.8;32;13;4;20;25;11;3;1;0
4480;259;29.28;71;28;18;78;43;12;8;1;0
4481;199;30.74;46;32;12;60;30;13;6;0;0
4482;292;36.88;30;49;29;50;65;24;29;13;3
4483;153;16.8;24;10;22;46;27;18;6;0;0
4484;58;56.33;99;99;99;99;99;99;99;99;99
4485;67;51.58;99;99;99;99;99;99;99;99;99
4486;52;58.19;99;99;99;99;99;99;99;99;99
4613;21;32.81;99;99;99;99;99;99;99;99;99
4614;8;70.13;99;99;99;99;99;99;99;99;99
4621;8;62.13;99;99;99;99;99;99;99;99;99
4631;5;58.2;99;99;99;99;99;99;99;99;99
4632;8;60.5;99;99;99;99;99;99;99;99;99
4636;17;44.59;99;99;99;99;99;99;99;99;99
4638;133;33.91;23;24;9;25;21;22;5;4;0
4639;158;28.77;28;27;7;38;27;10;13;6;2
4641;111;33.67;26;10;16;39;13;6;1;0;0
4642;16;6.25;99;99;99;99;99;99;99;99;99
4643;394;33.14;58;42;59;73;54;42;30;31;5
4644;483;30.45;36;37;141;113;49;39;33;27;8
4645;657;40.24;67;53;69;121;90;67;79;85;26
4646;379;40.16;29;13;38;54;38;55;82;56;14
4647;299;45.63;16;25;13;22;33;42;52;77;19
4648;100;44.58;13;23;6;8;18;17;12;3;0
4777;9;60.33;99;99;99;99;99;99;99;99;99
4778;8;59.75;99;99;99;99;99;99;99;99;99
4780;16;41.19;99;99;99;99;99;99;99;99;99
4796;272;38.32;29;23;29;33;57;45;24;24;8
4797;112;42.05;8;32;6;5;28;23;5;2;3
4798;331;37.56;40;85;23;30;77;53;14;9;0
4799;77;36.21;99;99;99;99;99;99;99;99;99
4800;137;42.41;27;31;3;15;37;13;6;4;1
4801;45;45.4;99;99;99;99;99;99;99;99;99
4802;7;53.29;99;99;99;99;99;99;99;99;99
4803;160;24.26;26;29;14;28;22;6;5;10;20
4804;18;23.83;99;99;99;99;99;99;99;99;99
4805;39;38.41;99;99;99;99;99;99;99;99;99
4806;721;30.97;91;69;157;127;101;57;47;61;11
4807;260;34.95;24;19;91;55;23;23;14;7;4
4808;367;36.51;32;32;65;68;46;40;38;39;7
4809;92;50.78;99;99;99;99;99;99;99;99;99
4810;239;36.04;28;34;51;32;35;41;13;4;1
4811;40;46.33;99;99;99;99;99;99;99;99;99
4899;6;24;99;99;99;99;99;99;99;99;99
4940;26;39.54;99;99;99;99;99;99;99;99;99
4941;35;54.11;99;99;99;99;99;99;99;99;99
4942;32;42.13;99;99;99;99;99;99;99;99;99
4943;35;34.09;99;99;99;99;99;99;99;99;99
4944;47;35.8;99;99;99;99;99;99;99;99;99
4945;36;30.22;99;99;99;99;99;99;99;99;99
4946;33;37.94;99;99;99;99;99;99;99;99;99
4947;36;16.94;99;99;99;99;99;99;99;99;99
4948;112;39.73;12;25;6;19;21;16;10;2;1
4949;6;22;99;99;99;99;99;99;99;99;99
4952;18;51.11;99;99;99;99;99;99;99;99;99
4953;6;18.67;99;99;99;99;99;99;99;99;99
4956;8;38.25;99;99;99;99;99;99;99;99;99
4957;7;50.71;99;99;99;99;99;99;99;99;99
4958;106;41.43;15;31;5;14;21;14;2;4;0
4959;255;35.56;42;57;21;24;52;41;16;2;0
4960;148;33.91;11;51;3;13;30;33;6;1;0
4961;8;73.25;99;99;99;99;99;99;99;99;99
4962;51;35.82;99;99;99;99;99;99;99;99;99
4964;7;65.86;99;99;99;99;99;99;99;99;99
4965;28;999999999;99;99;99;99;99;99;99;99;99
4966;90;36.97;99;99;99;99;99;99;99;99;99
4967;398;31.15;63;68;50;81;60;33;30;12;1
4968;177;15.52;15;18;63;29;11;28;5;8;0
4969;341;31.43;42;32;108;70;33;21;28;7;0
4970;387;33;37;32;133;83;44;30;17;8;3
4971;44;18.64;99;99;99;99;99;99;99;99;99
4972;117;32.73;16;15;17;23;18;19;4;3;2
4973;313;50.95;20;26;72;47;36;46;35;22;9
5103;39;42.59;99;99;99;99;99;99;99;99;99
5104;52;39.09;99;99;99;99;99;99;99;99;99
5105;31;35.84;99;99;99;99;99;99;99;99;99
5106;64;40.33;99;99;99;99;99;99;99;99;99
5107;139;35.24;16;38;6;16;32;17;8;3;3
5108;159;40.3;14;16;15;22;26;28;17;16;5
5109;112;38.15;7;15;10;12;17;27;11;9;4
5110;92;29.92;99;99;99;99;99;99;99;99;99
5111;32;32.16;99;99;99;99;99;99;99;99;99
5113;26;58.08;99;99;99;99;99;99;99;99;99
5114;172;43.61;10;7;25;25;21;40;26;16;2
5115;8;54.5;99;99;99;99;99;99;99;99;99
5128;171;36.28;24;46;5;20;46;22;5;1;2
5129;140;41.64;10;33;9;11;28;24;12;7;6
5130;117;41.96;7;29;5;9;17;22;14;11;3
5131;54;45.94;99;99;99;99;99;99;99;99;99
5135;58;39.52;99;99;99;99;99;99;99;99;99
5136;488;43.61;50;46;34;59;69;43;60;97;30
5137;226;49.6;9;13;10;26;26;32;37;53;20
5265;5;33.6;99;99;99;99;99;99;99;99;99
5266;25;48.9;99;99;99;99;99;99;99;99;99
5267;38;33.58;99;99;99;99;99;99;99;99;99
5268;39;42.41;99;99;99;99;99;99;99;99;99
5269;129;38.05;17;28;6;13;30;18;10;6;1
5270;106;38.53;8;31;4;18;20;14;3;6;2
5271;27;19.67;99;99;99;99;99;99;99;99;99
5272;82;30.73;99;99;99;99;99;99;99;99;99
5274;14;101.5;99;99;99;99;99;99;99;99;99
5275;213;31.88;23;14;20;39;34;28;41;12;2
5276;144;39.45;14;30;1;12;27;28;17;14;1
5277;23;45.39;99;99;99;99;99;99;99;99;99
5290;74;40.96;99;99;99;99;99;99;99;99;99
5291;150;38.73;21;23;8;17;26;25;18;9;3
5292;166;44.62;23;26;7;22;31;22;19;10;6
5293;11;26.55;99;99;99;99;99;99;99;99;99
5298;595;40.69;61;69;64;91;87;59;70;71;23
5299;719;41.54;47;31;67;116;97;85;93;122;61
5300;231;48.77;17;21;8;25;35;32;38;33;22
5384;7;46.29;99;99;99;99;99;99;99;99;99
5426;16;36;99;99;99;99;99;99;99;99;99
5427;106;43.25;15;34;2;11;30;13;1;0;0
5428;30;33.77;99;99;99;99;99;99;99;99;99
5429;7;36.29;99;99;99;99;99;99;99;99;99
5430;71;34.38;99;99;99;99;99;99;99;99;99
5431;57;40.37;99;99;99;99;99;99;99;99;99
5432;26;48.77;99;99;99;99;99;99;99;99;99
5433;167;32.26;18;34;19;19;23;24;19;9;2
5434;202;33.8;31;46;11;32;31;23;19;8;1
5435;42;38.79;99;99;99;99;99;99;99;99;99
5436;28;41.4;99;99;99;99;99;99;99;99;99
5437;254;37.93;20;49;21;36;36;44;38;8;2
5438;139;38.86;20;20;16;13;23;14;12;18;3
5439;38;39.66;99;99;99;99;99;99;99;99;99
5452;110;39.12;9;37;3;4;29;16;4;7;1
5453;151;42.02;18;41;5;11;39;20;7;5;5
5454;172;38.92;24;35;11;29;31;26;10;6;0
5455;92;42.93;99;99;99;99;99;99;99;99;99
5457;12;30.58;99;99;99;99;99;99;99;99;99
5458;16;36.75;99;99;99;99;99;99;99;99;99
5460;356;40.88;22;20;53;52;40;32;60;48;29
5461;772;37.82;92;98;72;131;87;108;81;78;25
5462;709;41.31;70;59;39;87;97;111;106;102;38
5463;450;35.4;21;32;41;38;35;32;55;72;124
5464;187;51.14;8;10;10;12;15;22;29;55;26
5546;9;26.89;99;99;99;99;99;99;99;99;99
5573;13;60.72;99;99;99;99;99;99;99;99;99
5574;7;91;99;99;99;99;99;99;99;99;99
5585;31;31.71;99;99;99;99;99;99;99;99;99
5586;48;32.35;99;99;99;99;99;99;99;99;99
5589;46;44.43;99;99;99;99;99;99;99;99;99
5590;37;50.14;99;99;99;99;99;99;99;99;99
5591;97;36.78;99;99;99;99;99;99;99;99;99
5592;111;35.95;19;21;9;16;20;16;8;1;1
5594;35;59.2;99;99;99;99;99;99;99;99;99
5595;110;45.13;9;15;10;10;20;25;15;4;2
5596;111;32.74;23;15;2;12;26;20;8;5;0
5597;189;30.06;27;32;29;23;30;18;10;8;12
5598;102;41.3;12;23;6;6;17;23;12;3;0
5599;8;81.5;99;99;99;99;99;99;99;99;99
5600;79;44.33;99;99;99;99;99;99;99;99;99
5603;16;48.75;99;99;99;99;99;99;99;99;99
5614;131;37.08;25;26;4;14;33;20;8;1;0
5615;171;33.65;36;35;2;18;49;20;7;4;0
5616;216;24.72;42;25;31;39;35;22;15;6;1
5617;69;45.29;99;99;99;99;99;99;99;99;99
5618;66;54.95;99;99;99;99;99;99;99;99;99
5619;88;46.34;99;99;99;99;99;99;99;99;99
5620;50;44.24;99;99;99;99;99;99;99;99;99
5622;837;34.45;98;97;105;144;123;92;75;83;20
5623;314;39.01;30;36;30;51;50;32;36;40;9
5624;177;37.44;25;17;18;24;19;26;22;18;8
5625;545;37.35;47;64;67;85;64;67;71;61;19
5626;289;37.92;35;38;24;37;39;38;35;34;9
5627;195;47.26;20;19;6;35;19;27;17;38;14
5628;128;42.28;20;27;4;24;11;25;13;4;0
5629;176;39.91;20;22;7;18;28;34;23;21;3
5708;6;73.47;99;99;99;99;99;99;99;99;99
5709;7;62.71;99;99;99;99;99;99;99;99;99
5710;9;38.22;99;99;99;99;99;99;99;99;99
5728;5;65.33;99;99;99;99;99;99;99;99;99
5736;17;58.75;99;99;99;99;99;99;99;99;99
5739;14;69;99;99;99;99;99;99;99;99;99
5740;39;39.7;99;99;99;99;99;99;99;99;99
5747;12;53.08;99;99;99;99;99;99;99;99;99
5751;7;66.71;99;99;99;99;99;99;99;99;99
5752;5;63.6;99;99;99;99;99;99;99;99;99
5753;18;57.44;99;99;99;99;99;99;99;99;99
5754;40;49.18;99;99;99;99;99;99;99;99;99
5756;77;45.39;99;99;99;99;99;99;99;99;99
5757;183;40.1;17;25;6;19;23;38;33;18;4
5758;259;33.9;25;49;16;26;43;42;31;22;5
5759;142;31.08;20;15;25;16;27;19;13;6;1
5760;6;45;99;99;99;99;99;99;99;99;99
5764;94;42.68;99;99;99;99;99;99;99;99;99
5765;117;47.93;9;20;2;5;22;26;23;9;1
5766;36;45.03;99;99;99;99;99;99;99;99;99
5772;30;35.3;99;99;99;99;99;99;99;99;99
5773;137;39.36;22;12;14;23;28;14;15;8;1
5774;86;43.63;99;99;99;99;99;99;99;99;99
5775;120;31.33;21;10;9;23;21;18;8;10;0
5776;58;52.67;99;99;99;99;99;99;99;99;99
5777;134;38.63;20;42;5;10;36;19;2;0;0
5778;291;30.45;66;52;20;60;49;28;8;5;3
5779;118;48.36;9;25;3;10;24;22;14;10;1
5780;114;47.67;6;31;7;3;28;15;18;5;1
5781;137;45.79;26;25;5;11;29;15;13;11;2
5782;86;31.19;99;99;99;99;99;99;99;99;99
5783;54;58.19;99;99;99;99;99;99;99;99;99
5784;168;37.27;15;25;11;40;26;16;15;14;6
5785;939;36.97;92;91;177;207;119;78;71;76;28
5786;578;34.29;74;86;49;96;90;66;49;44;24
5787;332;33.61;45;49;30;77;44;23;24;34;6
5788;355;40.37;35;70;8;39;65;51;29;46;12
5789;308;41.77;38;60;19;29;44;52;27;30;9
5790;417;38.2;51;63;26;54;65;66;52;30;10
5791;162;39.24;22;25;21;23;22;33;10;5;1
5868;11;75.09;99;99;99;99;99;99;99;99;99
5871;5;77.93;99;99;99;99;99;99;99;99;99
5890;6;45.5;99;99;99;99;99;99;99;99;99
5892;11;36;99;99;99;99;99;99;99;99;99
5893;10;12.6;99;99;99;99;99;99;99;99;99
5898;25;68.87;99;99;99;99;99;99;99;99;99
5901;14;58.44;99;99;99;99;99;99;99;99;99
5902;23;50.8;99;99;99;99;99;99;99;99;99
5903;5;60.6;99;99;99;99;99;99;99;99;99
5910;20;15.45;99;99;99;99;99;99;99;99;99
5914;39;36.44;99;99;99;99;99;99;99;99;99
5915;109;32.3;11;18;10;21;14;17;13;4;1
5916;243;29.98;57;30;14;64;40;29;6;2;1
5919;20;40.25;99;99;99;99;99;99;99;99;99
5920;144;30.22;21;28;7;29;26;11;9;11;2
5923;86;13.37;99;99;99;99;99;99;99;99;99
5925;84;34.9;99;99;99;99;99;99;99;99;99
5926;178;37.42;18;30;6;16;28;43;28;7;2
5927;167;36;27;27;22;16;30;17;26;2;0
5928;91;45.15;99;99;99;99;99;99;99;99;99
5929;43;55.67;99;99;99;99;99;99;99;99;99
5934;49;31.65;99;99;99;99;99;99;99;99;99
5935;158;39.53;26;12;8;34;25;18;9;20;6
5936;219;38.16;29;32;12;39;27;34;16;29;1
5937;217;37.61;28;27;14;32;42;21;24;27;2
5938;228;38.44;29;27;13;32;39;21;33;27;7
5939;54;28.13;99;99;99;99;99;99;99;99;99
5940;160;46.64;20;36;6;17;34;31;10;5;1
5941;94;47.3;99;99;99;99;99;99;99;99;99
5942;120;57.8;7;25;6;10;14;29;17;8;4
5943;101;57.41;18;10;4;14;17;21;7;5;5
5944;23;52.91;99;99;99;99;99;99;99;99;99
5947;66;40.41;99;99;99;99;99;99;99;99;99
5948;837;33.03;104;98;123;136;96;82;93;63;42
5949;742;37.62;75;93;86;113;94;69;74;97;41
5950;319;40.4;41;46;23;34;50;51;38;30;6
5951;288;46.54;32;44;11;43;38;47;30;32;11
5952;483;38.69;59;79;19;54;85;71;58;47;11
5954;5;73.2;99;99;99;99;99;99;99;99;99
6025;5;58.2;99;99;99;99;99;99;99;99;99
6054;8;58.13;99;99;99;99;99;99;99;99;99
6058;14;20.04;99;99;99;99;99;99;99;99;99
6059;9;39.96;99;99;99;99;99;99;99;99;99
6060;7;91.86;99;99;99;99;99;99;99;99;99
6061;7;57.86;99;99;99;99;99;99;99;99;99
6064;14;70.81;99;99;99;99;99;99;99;99;99
6065;6;69.44;99;99;99;99;99;99;99;99;99
6072;20;49.42;99;99;99;99;99;99;99;99;99
6073;7;51.71;99;99;99;99;99;99;99;99;99
6076;124;41.71;6;32;5;10;21;37;9;4;0
6077;154;36.47;13;31;7;23;32;22;17;8;1
6078;161;32.27;29;32;14;27;28;20;7;4;0
6084;8;60.75;99;99;99;99;99;99;99;99;99
6085;130;62.85;8;5;16;23;8;10;22;24;14
6086;223;25.43;6;25;125;56;9;1;1;0;0
